House Number,ข้อมูลการใช้ไฟฟ้า,ข้อมูลการใช้น้ำบริโภค-แหล่งที่มา,ข้อมูลการใช้น้ำบริโภค,ข้อมูลการใช้น้ำอุปโภค-แหล่งที่มา,ข้อมูลการใช้น้ำอุปโภค,ลักษณะของบ้าน,จำนวนที่ดินทำกิน (ไร่)-เป็นเจ้าของ,จำนวนที่ดินทำกิน (ไร่)-เช่า
124,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,32,
125,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,,บ้านสองชั้น,15,
131,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,,
132,มีและมีหม้อมิเตอร์เอง,ในหมู่บ้าน,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,9,
133,มีและมีหม้อมิเตอร์เอง,ซื้อจากโรงงาน,มีดื่มเป็นช่วงๆ(หน้าแล้งไม่ค่อยมีน้ำ),ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,19,
134,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ(มีนา-เมษาน้ำขุ่นและไม่พอใช้),บ้านสองชั้น,4,
135,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,,
136,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,,
137,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,35,
138,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นเดียวติดพื้น,,35
140,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,,
141,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,3,10
145,มีแต่มีการต่อพ่วงจากบ้านของ,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,30,
146,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,,
148,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นเดียวยกพื้น,14,
149,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,,
152,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นเดียวติดพื้น,11,
153,มีและมีหม้อมิเตอร์เอง,น้ำจากหมู่บ้า,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นเดียวยกพื้น,21,
154,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,20,
155,มีและมีหม้อมิเตอร์เอง,น้ำบ่อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,30,
156,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นเดียวติดพื้น,10,
157,มีและมีหม้อมิเตอร์เอง,"โรงน้ำดื่ม,ตู้หยอดเหรียญ",มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,40,
160,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,น้ำบ่อ,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,3,
